Day,UID,Condition,I am satisfied with my current level of physical activity.,I am a physically active person.,I am committed to my physical activity goal.,How hopeful are you about your physical health today?,How was your mood today?,I am satisfied with my current level of physical activity._num,I am a physically active person._num,I am committed to my physical activity goal._num,How hopeful are you about your physical health today?_num,How was your mood today?_num
13,P29,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Hopeful,Pleasant,3.0,3.0,3.0,4.0,4.0
14,P29,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Hopeful,Pleasant,3.0,3.0,3.0,4.0,4.0
15,P29,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Hopeful,Pleasant,3.0,3.0,3.0,4.0,4.0
16,P29,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Hopeful,Pleasant,3.0,3.0,3.0,4.0,4.0
17,P29,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,3.0,3.0,3.0,3.0,4.0
18,P29,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,3.0,3.0,3.0,3.0,4.0
19,P29,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,3.0,3.0,3.0,3.0,4.0
20,P29,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,3.0,3.0,3.0,3.0,4.0
22,P29,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,3.0,3.0,3.0,3.0,4.0
23,P29,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,3.0,3.0,3.0,3.0,4.0
24,P29,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,3.0,3.0,3.0,3.0,4.0
25,P29,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,3.0,3.0,3.0,3.0,4.0
27,P29,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,3.0,3.0,3.0,3.0,4.0
28,P29,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Unpleasant,3.0,3.0,3.0,3.0,2.0
0,P36,C,Disagree,Disagree,Agree,Hopeful,Pleasant,2.0,2.0,4.0,4.0,4.0
1,P36,C,Disagree,Agree,Neither agree nor disagree,Very hopeful,Very pleasant,2.0,4.0,3.0,5.0,5.0
2,P36,C,Disagree,Disagree,Agree,Hopeful,Pleasant,2.0,2.0,4.0,4.0,4.0
3,P36,C,Neither agree nor disagree,Neither agree nor disagree,Agree,Very hopeful,Pleasant,3.0,3.0,4.0,5.0,4.0
4,P36,C,Neither agree nor disagree,Agree,Agree,Hopeful,Pleasant,3.0,4.0,4.0,4.0,4.0
5,P36,C,Neither agree nor disagree,Agree,Agree,Hopeful,Pleasant,3.0,4.0,4.0,4.0,4.0
6,P36,C,Agree,Neither agree nor disagree,Agree,Very hopeful,Pleasant,4.0,3.0,4.0,5.0,4.0
8,P36,C,Neither agree nor disagree,Agree,Agree,Hopeful,Pleasant,3.0,4.0,4.0,4.0,4.0
9,P36,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
10,P36,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
11,P36,C,Agree,Agree,Strongly agree,Hopeful,Pleasant,4.0,4.0,5.0,4.0,4.0
12,P36,C,Agree,Agree,Agree,Hopeful,Very pleasant,4.0,4.0,4.0,4.0,5.0
13,P36,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
14,P36,C,Agree,Agree,Agree,Hopeful,Very pleasant,4.0,4.0,4.0,4.0,5.0
15,P36,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
16,P36,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
17,P36,C,Agree,Agree,Agree,Hopeful,Very pleasant,4.0,4.0,4.0,4.0,5.0
18,P36,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
19,P36,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
20,P36,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
21,P36,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
22,P36,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
23,P36,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
24,P36,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
26,P36,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
27,P36,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
28,P36,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
0,P13,C,Strongly agree,Agree,Strongly agree,Hopeful,Pleasant,5.0,4.0,5.0,4.0,4.0
1,P13,C,Strongly agree,Agree,Neither agree nor disagree,Neither hopeful nor hopeless,Very pleasant,5.0,4.0,3.0,3.0,5.0
2,P13,C,Strongly agree,Strongly agree,Neither agree nor disagree,Hopeful,Very pleasant,5.0,5.0,3.0,4.0,5.0
3,P13,C,Strongly agree,Strongly agree,Neither agree nor disagree,Very hopeful,Pleasant,5.0,5.0,3.0,5.0,4.0
4,P13,C,Strongly agree,Agree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,5.0,4.0,3.0,3.0,3.0
5,P13,C,Strongly agree,Agree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,5.0,4.0,3.0,3.0,4.0
6,P13,C,Strongly agree,Agree,Neither agree nor disagree,Hopeful,Neither pleasant nor unpleasant,5.0,4.0,3.0,4.0,3.0
7,P13,C,Strongly agree,Agree,Neither agree nor disagree,Hopeful,Very pleasant,5.0,4.0,3.0,4.0,5.0
8,P13,C,Strongly agree,Agree,Neither agree nor disagree,Hopeful,Pleasant,5.0,4.0,3.0,4.0,4.0
9,P13,C,Strongly agree,Agree,Neither agree nor disagree,Neither hopeful nor hopeless,Unpleasant,5.0,4.0,3.0,3.0,2.0
10,P13,C,Strongly agree,Agree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,5.0,4.0,3.0,3.0,4.0
11,P13,C,Strongly agree,Agree,Neither agree nor disagree,Hopeful,Pleasant,5.0,4.0,3.0,4.0,4.0
12,P13,C,Strongly agree,Agree,Neither agree nor disagree,Neither hopeful nor hopeless,Unpleasant,5.0,4.0,3.0,3.0,2.0
13,P13,C,Strongly agree,Agree,Neither agree nor disagree,Neither hopeful nor hopeless,Unpleasant,5.0,4.0,3.0,3.0,2.0
14,P13,C,Strongly agree,Agree,Agree,Neither hopeful nor hopeless,Unpleasant,5.0,4.0,4.0,3.0,2.0
15,P13,C,Strongly agree,Agree,Agree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,5.0,4.0,4.0,3.0,3.0
16,P13,C,Strongly agree,Agree,Neither agree nor disagree,Hopeful,Pleasant,5.0,4.0,3.0,4.0,4.0
17,P13,C,Strongly agree,Agree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,5.0,4.0,3.0,3.0,3.0
18,P13,C,Strongly agree,Agree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,5.0,4.0,3.0,3.0,4.0
19,P13,C,Strongly agree,Agree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,5.0,4.0,3.0,3.0,4.0
20,P13,C,Strongly agree,Agree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,5.0,4.0,3.0,3.0,4.0
21,P13,C,Strongly agree,Agree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,5.0,4.0,3.0,3.0,4.0
22,P13,C,Strongly agree,Agree,Neither agree nor disagree,Neither hopeful nor hopeless,Unpleasant,5.0,4.0,3.0,3.0,2.0
23,P13,C,Strongly agree,Agree,Neither agree nor disagree,Neither hopeful nor hopeless,Very pleasant,5.0,4.0,3.0,3.0,5.0
24,P13,C,Strongly agree,Agree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,5.0,4.0,3.0,3.0,4.0
25,P13,C,Strongly agree,Agree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,5.0,4.0,3.0,3.0,4.0
26,P13,C,Strongly agree,Agree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,5.0,4.0,3.0,3.0,3.0
27,P13,C,Strongly agree,Agree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,5.0,4.0,3.0,3.0,4.0
28,P13,C,Strongly agree,Agree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,5.0,4.0,3.0,3.0,4.0
0,P31,C,Disagree,Disagree,Agree,Hopeful,Pleasant,2.0,2.0,4.0,4.0,4.0
1,P31,C,Agree,Disagree,Agree,Hopeful,Very unpleasant,4.0,2.0,4.0,4.0,5.0
2,P31,C,Agree,Neither agree nor disagree,Agree,Hopeful,Neither pleasant nor unpleasant,4.0,3.0,4.0,4.0,3.0
3,P31,C,Neither agree nor disagree,Disagree,Agree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,2.0,4.0,3.0,3.0
4,P31,C,Disagree,Disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Unpleasant,2.0,2.0,3.0,3.0,2.0
5,P31,C,Disagree,Disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,2.0,2.0,3.0,3.0,3.0
6,P31,C,Disagree,Disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Very unpleasant,2.0,2.0,3.0,3.0,5.0
7,P31,C,Agree,Neither agree nor disagree,Agree,Hopeful,Pleasant,4.0,3.0,4.0,4.0,4.0
8,P31,C,Agree,Neither agree nor disagree,Agree,Hopeful,Pleasant,4.0,3.0,4.0,4.0,4.0
9,P31,C,Disagree,Disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Unpleasant,2.0,2.0,3.0,3.0,2.0
10,P31,C,Disagree,Disagree,Disagree,Neither hopeful nor hopeless,Unpleasant,2.0,2.0,2.0,3.0,2.0
11,P31,C,Strongly disagree,Disagree,Disagree,Hopeless,Very unpleasant,1.0,2.0,2.0,2.0,5.0
14,P31,C,Disagree,Disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,2.0,2.0,3.0,3.0,4.0
15,P31,C,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Very pleasant,3.0,2.0,3.0,3.0,5.0
16,P31,C,Disagree,Disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,2.0,2.0,3.0,3.0,3.0
17,P31,C,Disagree,Disagree,Neither agree nor disagree,Hopeful,Pleasant,2.0,2.0,3.0,4.0,4.0
18,P31,C,Disagree,Disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Unpleasant,2.0,2.0,3.0,3.0,2.0
19,P31,C,Disagree,Disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Very unpleasant,2.0,2.0,3.0,3.0,5.0
20,P31,C,Disagree,Disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Unpleasant,2.0,2.0,3.0,3.0,2.0
21,P31,C,Disagree,Disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,2.0,2.0,3.0,3.0,3.0
22,P31,C,Disagree,Disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Very unpleasant,2.0,2.0,3.0,3.0,5.0
23,P31,C,Disagree,Disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Unpleasant,2.0,2.0,3.0,3.0,2.0
24,P31,C,Disagree,Disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Unpleasant,2.0,2.0,3.0,3.0,2.0
25,P31,C,Disagree,Disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Unpleasant,2.0,2.0,3.0,3.0,2.0
26,P31,C,Disagree,Disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Unpleasant,2.0,2.0,3.0,3.0,2.0
27,P31,C,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Unpleasant,3.0,2.0,3.0,3.0,2.0
28,P31,C,Disagree,Disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,2.0,2.0,3.0,3.0,4.0
0,P32,T,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
1,P32,T,Disagree,Agree,Agree,Hopeful,Pleasant,2.0,4.0,4.0,4.0,4.0
2,P32,T,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
3,P32,T,Neither agree nor disagree,Agree,Agree,Hopeless,Unpleasant,3.0,4.0,4.0,2.0,2.0
4,P32,T,Agree,Agree,Agree,Very hopeful,Neither pleasant nor unpleasant,4.0,4.0,4.0,5.0,3.0
5,P32,T,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,3.0,4.0,3.0,3.0
6,P32,T,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
7,P32,T,Strongly agree,Agree,Agree,Very hopeful,Very pleasant,5.0,4.0,4.0,5.0,5.0
8,P32,T,Neither agree nor disagree,Agree,Agree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,4.0,4.0,3.0,3.0
9,P32,T,Agree,Agree,Agree,Hopeful,Neither pleasant nor unpleasant,4.0,4.0,4.0,4.0,3.0
10,P32,T,Agree,Agree,Agree,Very hopeful,Neither pleasant nor unpleasant,4.0,4.0,4.0,5.0,3.0
11,P32,T,Agree,Agree,Agree,Hopeful,Unpleasant,4.0,4.0,4.0,4.0,2.0
12,P32,T,Neither agree nor disagree,Agree,Agree,Hopeful,Pleasant,3.0,4.0,4.0,4.0,4.0
13,P32,T,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
14,P32,T,Agree,Agree,Agree,Very hopeful,Pleasant,4.0,4.0,4.0,5.0,4.0
15,P32,T,Agree,Agree,Agree,Hopeful,Neither pleasant nor unpleasant,4.0,4.0,4.0,4.0,3.0
16,P32,T,Agree,Agree,Agree,Hopeful,Unpleasant,4.0,4.0,4.0,4.0,2.0
17,P32,T,Agree,Agree,Agree,Hopeful,Unpleasant,4.0,4.0,4.0,4.0,2.0
18,P32,T,Agree,Agree,Agree,Hopeful,Neither pleasant nor unpleasant,4.0,4.0,4.0,4.0,3.0
19,P32,T,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
20,P32,T,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
21,P32,T,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
22,P32,T,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
23,P32,T,Agree,Agree,Agree,Hopeful,Very unpleasant,4.0,4.0,4.0,4.0,5.0
24,P32,T,Agree,Agree,Agree,Neither hopeful nor hopeless,Very unpleasant,4.0,4.0,4.0,3.0,5.0
25,P32,T,Agree,Agree,Agree,Hopeful,Unpleasant,4.0,4.0,4.0,4.0,2.0
26,P32,T,Agree,Agree,Agree,Hopeful,Very unpleasant,4.0,4.0,4.0,4.0,5.0
27,P32,T,Agree,Agree,Agree,Hopeful,Unpleasant,4.0,4.0,4.0,4.0,2.0
28,P32,T,Agree,Agree,Agree,Hopeful,Neither pleasant nor unpleasant,4.0,4.0,4.0,4.0,3.0
0,P11,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,3.0,3.0,3.0,3.0
1,P11,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Unpleasant,3.0,3.0,3.0,3.0,2.0
2,P11,T,Neither agree nor disagree,Agree,Agree,Hopeful,Pleasant,3.0,4.0,4.0,4.0,4.0
3,P11,T,Neither agree nor disagree,Agree,Agree,Neither hopeful nor hopeless,Pleasant,3.0,4.0,4.0,3.0,4.0
4,P11,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Unpleasant,3.0,3.0,3.0,3.0,2.0
5,P11,T,Strongly agree,Strongly agree,Agree,Hopeful,Neither pleasant nor unpleasant,5.0,5.0,4.0,4.0,3.0
6,P11,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,3.0,3.0,3.0,3.0
7,P11,T,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,3.0,4.0,3.0,3.0
8,P11,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,3.0,3.0,3.0,3.0
9,P11,T,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,3.0,4.0,3.0,3.0
10,P11,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,3.0,3.0,3.0,3.0
11,P11,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,3.0,3.0,3.0,3.0
12,P11,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,3.0,3.0,3.0,3.0
14,P11,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,3.0,3.0,3.0,3.0
15,P11,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,3.0,3.0,3.0,3.0
16,P11,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Very unpleasant,3.0,3.0,3.0,3.0,5.0
17,P11,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,3.0,3.0,3.0,3.0
18,P11,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,3.0,3.0,3.0,3.0
19,P11,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,3.0,3.0,3.0,3.0
20,P11,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,3.0,3.0,3.0,3.0
21,P11,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,3.0,3.0,3.0,3.0
22,P11,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,3.0,3.0,3.0,3.0
23,P11,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,3.0,3.0,3.0,3.0
24,P11,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,3.0,3.0,3.0,3.0
25,P11,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,3.0,3.0,3.0,3.0
26,P11,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,3.0,3.0,3.0,3.0
27,P11,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,3.0,3.0,3.0,3.0
28,P11,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,3.0,3.0,3.0,3.0
0,P22,T,Disagree,Neither agree nor disagree,Agree,Hopeful,Very pleasant,2.0,3.0,4.0,4.0,5.0
1,P22,T,Disagree,Neither agree nor disagree,Strongly agree,Hopeful,Pleasant,2.0,3.0,5.0,4.0,4.0
2,P22,T,Disagree,Neither agree nor disagree,Agree,Hopeful,Neither pleasant nor unpleasant,2.0,3.0,4.0,4.0,3.0
3,P22,T,Disagree,Neither agree nor disagree,Agree,Hopeful,Pleasant,2.0,3.0,4.0,4.0,4.0
5,P22,T,Disagree,Neither agree nor disagree,Agree,Hopeful,Pleasant,2.0,3.0,4.0,4.0,4.0
6,P22,T,Disagree,Neither agree nor disagree,Strongly agree,Hopeful,Very pleasant,2.0,3.0,5.0,4.0,5.0
7,P22,T,Disagree,Neither agree nor disagree,Strongly agree,Very hopeful,Very pleasant,2.0,3.0,5.0,5.0,5.0
8,P22,T,Disagree,Neither agree nor disagree,Agree,Very hopeful,Very pleasant,2.0,3.0,4.0,5.0,5.0
9,P22,T,Disagree,Neither agree nor disagree,Agree,Hopeful,Very pleasant,2.0,3.0,4.0,4.0,5.0
10,P22,T,Disagree,Neither agree nor disagree,Strongly agree,Hopeful,Pleasant,2.0,3.0,5.0,4.0,4.0
11,P22,T,Disagree,Neither agree nor disagree,Agree,Very hopeful,Pleasant,2.0,3.0,4.0,5.0,4.0
12,P22,T,Disagree,Agree,Strongly agree,Very hopeful,Very pleasant,2.0,4.0,5.0,5.0,5.0
13,P22,T,Disagree,Agree,Strongly agree,Very hopeful,Very pleasant,2.0,4.0,5.0,5.0,5.0
15,P22,T,Disagree,Agree,Strongly agree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,2.0,4.0,5.0,3.0,3.0
16,P22,T,Disagree,Agree,Agree,Hopeful,Unpleasant,2.0,4.0,4.0,4.0,2.0
17,P22,T,Disagree,Agree,Strongly agree,Hopeful,Neither pleasant nor unpleasant,2.0,4.0,5.0,4.0,3.0
18,P22,T,Disagree,Agree,Strongly agree,Very hopeful,Pleasant,2.0,4.0,5.0,5.0,4.0
20,P22,T,Disagree,Agree,Agree,Hopeful,Neither pleasant nor unpleasant,2.0,4.0,4.0,4.0,3.0
21,P22,T,Disagree,Agree,Agree,Neither hopeful nor hopeless,Pleasant,2.0,4.0,4.0,3.0,4.0
22,P22,T,Disagree,Agree,Agree,Very hopeful,Very pleasant,2.0,4.0,4.0,5.0,5.0
23,P22,T,Disagree,Agree,Agree,Hopeful,Very pleasant,2.0,4.0,4.0,4.0,5.0
24,P22,T,Disagree,Agree,Strongly agree,Very hopeful,Very pleasant,2.0,4.0,5.0,5.0,5.0
25,P22,T,Disagree,Agree,Strongly agree,Hopeful,Pleasant,2.0,4.0,5.0,4.0,4.0
26,P22,T,Disagree,Agree,Agree,Hopeful,Pleasant,2.0,4.0,4.0,4.0,4.0
27,P22,T,Disagree,Neither agree nor disagree,Agree,Very hopeful,Very pleasant,2.0,3.0,4.0,5.0,5.0
28,P22,T,Neither agree nor disagree,Agree,Strongly agree,Very hopeful,Very pleasant,3.0,4.0,5.0,5.0,5.0
0,P19,T,Disagree,Disagree,Agree,Hopeful,Neither pleasant nor unpleasant,2.0,2.0,4.0,4.0,3.0
1,P19,T,Disagree,Disagree,Agree,Hopeful,Unpleasant,2.0,2.0,4.0,4.0,2.0
2,P19,T,Disagree,Disagree,Strongly agree,Very hopeful,Pleasant,2.0,2.0,5.0,5.0,4.0
3,P19,T,Disagree,Disagree,Disagree,Hopeful,Pleasant,2.0,2.0,2.0,4.0,4.0
4,P19,T,Disagree,Disagree,Agree,Hopeful,Pleasant,2.0,2.0,4.0,4.0,4.0
5,P19,T,Disagree,Disagree,Agree,Hopeful,Pleasant,2.0,2.0,4.0,4.0,4.0
6,P19,T,Disagree,Disagree,Agree,Hopeful,Pleasant,2.0,2.0,4.0,4.0,4.0
7,P19,T,Disagree,Disagree,Strongly agree,Very hopeful,Pleasant,2.0,2.0,5.0,5.0,4.0
8,P19,T,Strongly disagree,Disagree,Agree,Hopeless,Unpleasant,1.0,2.0,4.0,2.0,2.0
9,P19,T,Disagree,Agree,Agree,Hopeful,Unpleasant,2.0,4.0,4.0,4.0,2.0
10,P19,T,Disagree,Disagree,Agree,Hopeful,Neither pleasant nor unpleasant,2.0,2.0,4.0,4.0,3.0
11,P19,T,Disagree,Disagree,Agree,Hopeful,Unpleasant,2.0,2.0,4.0,4.0,2.0
12,P19,T,Neither agree nor disagree,Disagree,Agree,Hopeful,Pleasant,3.0,2.0,4.0,4.0,4.0
13,P19,T,Disagree,Disagree,Agree,Hopeful,Pleasant,2.0,2.0,4.0,4.0,4.0
14,P19,T,Disagree,Disagree,Agree,Hopeful,Pleasant,2.0,2.0,4.0,4.0,4.0
15,P19,T,Disagree,Disagree,Agree,Hopeless,Pleasant,2.0,2.0,4.0,2.0,4.0
16,P19,T,Disagree,Disagree,Agree,Hopeful,Pleasant,2.0,2.0,4.0,4.0,4.0
17,P19,T,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
18,P19,T,Agree,Agree,Agree,Hopeful,Unpleasant,4.0,4.0,4.0,4.0,2.0
19,P19,T,Agree,Agree,Strongly agree,Very hopeful,Pleasant,4.0,4.0,5.0,5.0,4.0
20,P19,T,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
21,P19,T,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
22,P19,T,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
23,P19,T,Agree,Agree,Agree,Hopeful,Unpleasant,4.0,4.0,4.0,4.0,2.0
24,P19,T,Neither agree nor disagree,Disagree,Agree,Hopeful,Unpleasant,3.0,2.0,4.0,4.0,2.0
25,P19,T,Agree,Agree,Agree,Very hopeful,Pleasant,4.0,4.0,4.0,5.0,4.0
26,P19,T,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
27,P19,T,Agree,Agree,Agree,Hopeful,Very pleasant,4.0,4.0,4.0,4.0,5.0
28,P19,T,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
0,P40,T,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
1,P40,T,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
2,P40,T,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
3,P40,T,Agree,Agree,Agree,Very hopeful,Pleasant,4.0,4.0,4.0,5.0,4.0
4,P40,T,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
5,P40,T,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
6,P40,T,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
