Day,UID,Condition,I am satisfied with my current level of physical activity.,I am a physically active person.,I am committed to my physical activity goal.,How hopeful are you about your physical health today?,How was your mood today?,I am satisfied with my current level of physical activity._num,I am a physically active person._num,I am committed to my physical activity goal._num,How hopeful are you about your physical health today?_num,How was your mood today?_num
1,P37,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
2,P37,C,Disagree,Agree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,2.0,4.0,3.0,3.0,3.0
3,P37,C,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,4.0,3.0,3.0,3.0
4,P37,C,Agree,Agree,Agree,Hopeful,Neither pleasant nor unpleasant,4.0,4.0,4.0,4.0,3.0
6,P37,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
7,P37,C,Agree,Agree,Agree,Hopeful,Neither pleasant nor unpleasant,4.0,4.0,4.0,4.0,3.0
8,P37,C,Agree,Agree,Agree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,4.0,4.0,4.0,3.0,3.0
10,P37,C,Agree,Agree,Agree,Hopeful,Neither pleasant nor unpleasant,4.0,4.0,4.0,4.0,3.0
11,P37,C,Disagree,Agree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,2.0,4.0,3.0,3.0,3.0
12,P37,C,Disagree,Agree,Neither agree nor disagree,Neither hopeful nor hopeless,Unpleasant,2.0,4.0,3.0,3.0,2.0
14,P37,C,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,4.0,3.0,3.0,3.0
15,P37,C,Disagree,Agree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,2.0,4.0,3.0,3.0,3.0
16,P37,C,Agree,Agree,Agree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,4.0,4.0,4.0,3.0,3.0
18,P37,C,Agree,Agree,Agree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,4.0,4.0,4.0,3.0,3.0
19,P37,C,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Unpleasant,3.0,3.0,3.0,3.0,2.0
20,P37,C,Disagree,Neither agree nor disagree,Neither agree nor disagree,Hopeful,Neither pleasant nor unpleasant,2.0,3.0,3.0,4.0,3.0
21,P37,C,Neither agree nor disagree,Agree,Agree,Hopeful,Pleasant,3.0,4.0,4.0,4.0,4.0
22,P37,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
23,P37,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
24,P37,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
26,P37,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
0,P3,C,Disagree,Disagree,Neither agree nor disagree,Hopeful,Pleasant,2.0,2.0,3.0,4.0,4.0
1,P3,C,Disagree,Disagree,Agree,Hopeful,Pleasant,2.0,2.0,4.0,4.0,4.0
2,P3,C,Neither agree nor disagree,Neither agree nor disagree,Agree,Hopeful,Pleasant,3.0,3.0,4.0,4.0,4.0
3,P3,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
4,P3,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
6,P3,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
8,P3,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
9,P3,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
10,P3,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
11,P3,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
12,P3,C,Agree,Agree,Agree,Neither hopeful nor hopeless,Pleasant,4.0,4.0,4.0,3.0,4.0
13,P3,C,Agree,Agree,Agree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,4.0,4.0,4.0,3.0,3.0
14,P3,C,Agree,Agree,Agree,Hopeful,Neither pleasant nor unpleasant,4.0,4.0,4.0,4.0,3.0
15,P3,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
16,P3,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
17,P3,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
18,P3,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
19,P3,C,Agree,Agree,Agree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,4.0,4.0,4.0,3.0,3.0
20,P3,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
21,P3,C,Agree,Agree,Agree,Hopeful,Neither pleasant nor unpleasant,4.0,4.0,4.0,4.0,3.0
22,P3,C,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,3.0,3.0,3.0,3.0,3.0
23,P3,C,Agree,Agree,Agree,Hopeful,Neither pleasant nor unpleasant,4.0,4.0,4.0,4.0,3.0
24,P3,C,Agree,Agree,Agree,Hopeful,Pleasant,4.0,4.0,4.0,4.0,4.0
